Acai,28.35,20,0.7054673721
Acorn,28.35,108,3.80952381
Advocaat,44,125,2.840909091
Alfalfa Sprouts,33,8,0.2424242424
Alligator,153,355,2.320261438
Almond Milk,235,40,0.170212766
Almonds,95,546,5.747368421
Amaretto,25,78,3.12
American Cheese,21,31,1.476190476
Anchovy,85,111,1.305882353
Applejack,44,103,2.340909091
Apples,182,95,0.521978022
Applesauce,246,167,0.6788617886
Applewood,20,82,4.1
Apricots,35,17,0.4857142857
Artichokes,128,60,0.46875
Arugula,2,1,0.5
Asiago Cheese,28.35,110,3.880070547
Asparagus,12,2,0.1666666667
Asti,100,138,1.38
Aubergines,458,115,0.2510917031
Avocados,200,320,1.6
Azuki Bean,266,330,1.240601504
Babybel,21,70,3.333333333
Bailey’s Irish Cream,44,144,3.272727273
Baileys,44,144,3.272727273
Bamboo Shoots,151,41,0.2715231788
Bananas,125,111,0.888
Bean Curd,124,94,0.7580645161
Bean Sprouts,104,31,0.2980769231
Beechnut,28.35,161,5.679012346
Beef,164,407,2.481707317
Beef Brisket,1780,4308,2.420224719
Beef Ribs,225,536,2.382222222
Beef Tenderloin,140,305,2.178571429
Beer,355,153,0.4309859155
Beetroot,82,35,0.4268292683
Bell Pepper,73,15,0.2054794521
Bengal Gram,200,728,3.64
Black Beans,12.1,41,3.388429752
Black Chickpeas,200,728,3.64
Black Gram,207,706,3.410628019
Black Olives,2.7,2,0.7407407407
Blackberries,144,62,0.4305555556
Blood Oranges,140,70,0.5
Blue Cheese,28.35,99,3.492063492
Blue Curacao,30,73,2.433333333
Blueberries,148,84,0.5675675676
Bluefish,117,186,1.58974359
Bourbon,44,103,2.340909091
Brandy,44,94,2.136363636
Brazil Nuts,133,872,6.556390977
Breadfruit,28.35,53,1.869488536
Bream,125,169,1.352
Brie,30,100,3.333333333
Broccoli,608,207,0.3404605263
Brown Lentil,192,678,3.53125
Brussels Sprouts,19,8,0.4210526316
Butter,15,108,7.2
Butterfish,25,47,1.88
Buttermilk,254,157,0.6181102362
Butternut,120,734,6.116666667
Butternut,120,734,6.116666667
Cabbage,908,227,0.25
Calamari,12,21,1.75
Camembert cheese,30,90,3
Canadian Whiskey,44,95,2.159090909
Cantaloupes,69,23,0.3333333333
Capsicums,45,12,0.2666666667
Carp,170,275,1.617647059
Carrot,61,25,0.4098360656
Cashew nuts,28.35,155,5.467372134
Cauliflower,13,3,0.2307692308
Caviar,16,42,2.625
Celery,40,6,0.15
Chambord,150,522,3.48
Champagne,100,75,0.75
Chard,48,9,0.1875
Cheddar,22,89,4.045454545
Cherries,8,4,0.5
Cherry Tomato,20,20,1
Chester,28.35,108,3.80952381
Chestnut,145,309,2.131034483
Chia Seeds,28.35,136,4.797178131
Chicken,334,731,2.188622754
Chicken Breast,200,344,1.72
Chicken Drumstick,71,131,1.845070423
Chicken Fat,205,1841,8.980487805
Chicken Giblets,145,229,1.579310345
Chicken Gizzards,145,212,1.462068966
Chicken Leg,199,346,1.738693467
Chicken Liver,44,73,1.659090909
Chicken Meat,200,344,1.72
Chicken Thigh,111,254,2.288288288
Chicken Wing,29,77,2.655172414
Chickpeas,12.5,44,3.52
Chicory,53,38,0.7169811321
Chili Bean,253,245,0.9683794466
Chinese Cabbage,840,134,0.1595238095
Chives,3,1,0.3333333333
Chocolate Mousse,202,455,2.252475248
Chuck Steak,310,859,2.770967742
Cider,150,74,0.4933333333
Clam,85,126,1.482352941
Clementine,74,35,0.472972973
Coconut,397,1405,3.539042821
Coconut Milk,240,552,2.3
Cod,180,189,1.05
Coffee Creamer,15,29,1.933333333
Cognac,44,103,2.340909091
Cointreau,44,141,3.204545455
Colby Cheese,132,520,3.939393939
Colby-Jack Cheese,132,520,3.939393939
Collard Greens,36,12,0.3333333333
Condensed Milk,306,982,3.209150327
Corn,154,562,3.649350649
Cottage Cheese,210,206,0.980952381
Cottage Cheese,210,206,0.980952381
Cotton Seeds,149,754,5.060402685
